Address,Link,Rent,Suburb,Bedrooms,Car space,Time to Bondi,Time To Manly,Time to Unity,Time to WWF by Transit,Time to Pivotal by Transit
"1/60 Dolphin Street, Coogee NSW 2034",https://www.domain.com.au/1-60-dolphin-street-coogee-nsw-2034-12952811,$380,Coogee,1,NO,12,38,21,46,30
"1/767-771 Old South Head Road, Vaucluse NSW 2030",https://www.domain.com.au/1-767-771-old-south-head-road-vaucluse-nsw-2030-14236909,$400,Vaucluse,1,NO,10,40,23,62,48
"3/7 Neptune Street, Coogee NSW 2034",https://www.domain.com.au/3-7-neptune-street-coogee-nsw-2034-14124989,$400,Coogee,1,NO,15,42,24,44,36
"21/355 Old South Head Road, North Bondi NSW 2026",https://www.domain.com.au/21-355-old-south-head-road-north-bondi-nsw-2026-14236681,$500,North Bondi,2,YES,4,37,20,63,43
"80 Shadforth Street, Mosman NSW 2088",https://www.domain.com.au/80-shadforth-street-mosman-nsw-2088-14152311,$380,Mosman,1,NO,24,18,11,57,33
"213A Bunnerong Road, Maroubra NSW 2035",https://www.domain.com.au/213a-bunnerong-road-maroubra-nsw-2035-14197650,$340,Maroubra,1,NO,20,36,19,38,33
"1/9 Augusta Road, Manly NSW 2095",https://www.domain.com.au/1-9-augusta-road-manly-nsw-2095-14104906,$600,Manly,2,NO,36,4,23,75,48
"7/107 Darley Road, Manly NSW 2095",https://www.domain.com.au/7-107-darley-road-manly-nsw-2095-14239239,$560,Manly,2,NO,39,2,26,66,44
"32/69 Addison Road, Manly NSW 2095",https://www.domain.com.au/32-69-addison-road-manly-nsw-2095-13696796,$320,Manly,1,NO,38,2,26,64,42
"2/122 Bondi Road, Bondi NSW 2026",https://www.domain.com.au/2-122-bondi-road-bondi-nsw-2026-14235456,$550,Bondi,2,NO,5,34,17,47,38
"3/44 Fern Street, Clovelly NSW 2031",https://www.domain.com.au/3-44-fern-street-clovelly-nsw-2031-12668909,$575,Clovelly,2,YES,9,37,20,41,37
"4/33 St Thomas Street, Bronte NSW 2024",https://www.domain.com.au/4-33-st-thomas-street-bronte-nsw-2024-14166699,$585,Bronte,2,YES,9,38,21,50,33
"8/26-28 Brae Street, Bronte NSW 2024",https://www.domain.com.au/8-26-28-brae-street-bronte-nsw-2024-14228570,$600,Bronte,2,YES,7,38,21,49,34
"2/17 Courtley Road, Beacon Hill NSW 2100",https://www.domain.com.au/2-17-courtley-road-beacon-hill-nsw-2100-14172740,$550,Beacon Hill,2,YES,36,14,23,96,68
"4/108 Soldiers Avenue, Freshwater NSW 2096",https://www.domain.com.au/4-108-soldiers-avenue-freshwater-nsw-2096-14239141,$550,Freshwater,2,YES,39,5,26,87,56
"39/231 Anzac Parade, Kensington NSW 2033",https://www.domain.com.au/39-231-anzac-parade-kensington-nsw-2033-10541225,$350,Kensington,1,YES,19,34,16,31,34
"11/59 Hall Street, Bondi Beach NSW 2026",https://www.domain.com.au/11-59-hall-street-bondi-beach-nsw-2026-14146539,$300,Bondi Beach,1,NO,3,37,20,53,37
"4/10 Glenwood Avenue, Coogee NSW 2034",https://www.domain.com.au/4-10-glenwood-avenue-coogee-nsw-2034-14234513,$420,Coogee,2,NO,13,39,22,46,30
"2/23 Boonara Avenue, Bondi NSW 2026",https://www.domain.com.au/2-23-boonara-avenue-bondi-nsw-2026-14233643,$500,Bondi,2,NO,3,37,20,50,41
"14/163-165 Sydney Road, Fairlight NSW 2094",https://www.domain.com.au/14-163-165-sydney-road-fairlight-nsw-2094-11345474,$525,Fairlight,2,NO,34,5,21,64,39
"9/11 Fairway Close, Manly Vale NSW 2093",https://www.domain.com.au/9-11-fairway-close-manly-vale-nsw-2093-14231664,$520,Manly Vale,2,YES,35,4,22,76,37
"6/92 Macpherson Street, Bronte NSW 2024",https://www.domain.com.au/6-92-macpherson-street-bronte-nsw-2024-14075722,$600,Bronte,2,YES,8,38,20,52,33
"3/19-23 Hall Street, Bondi Beach NSW 2026",https://www.domain.com.au/3-19-23-hall-street-bondi-beach-nsw-2026-13830604,$595,Bondi Beach,2,NO,3,38,21,54,46
"3/33 MOIRA CRESCENT, Clovelly NSW 2031",https://www.domain.com.au/3-33-moira-crescent-clovelly-nsw-2031-11433040,$595,Clovelly,2,NO,13,39,22,40,36
"3/10 Moira Crescent, Clovelly NSW 2031",https://www.domain.com.au/3-10-moira-crescent-clovelly-nsw-2031-10907424,$400,Clovelly,2,NO,13,39,22,40,36
"12/26 Lugar Street, Bronte NSW 2024",https://www.domain.com.au/12-26-lugar-street-bronte-nsw-2024-14132919,$600,Bronte,2,YES,7,38,21,51,33
"32/355 Old South Head Road, North Bondi NSW 2026",https://www.domain.com.au/32-355-old-south-head-road-north-bondi-nsw-2026-12291535,$500,North Bondi,2,YES,4,37,20,63,43
"1/7 Boonara Avenue, Bondi Beach NSW 2026",https://www.domain.com.au/1-7-boonara-avenue-bondi-beach-nsw-2026-14204388,$550,Bondi Beach,2,NO,3,37,20,49,40
"5/36 Blair Street, Bondi Beach NSW 2026",https://www.domain.com.au/5-36-blair-street-bondi-beach-nsw-2026-7515359,$500,Bondi Beach,2,NO,3,38,21,61,38
"11/36 Blair Street, Bondi Beach NSW 2026",https://www.domain.com.au/11-36-blair-street-bondi-beach-nsw-2026-7289776,$500,Bondi Beach,2,NO,3,38,21,61,38
"1/258 Military Road, Dover Heights NSW 2030",https://www.domain.com.au/1-258-military-road-dover-heights-nsw-2030-14146164,$500,Dover Heights,2,NO,7,41,24,70,56
"5/13 Gilbert Street, Manly NSW 2095",https://www.domain.com.au/5-13-gilbert-street-manly-nsw-2095-14221341,$575,Manly,2,NO,36,4,23,59,48
"2/9 White Street, Balgowlah NSW 2093",https://www.domain.com.au/2-9-white-street-balgowlah-nsw-2093-14096402,$475,Balgowlah,2,NO,33,6,20,72,38
"8/61 Mitchell Street, Bondi Beach NSW 2026",https://www.domain.com.au/8-61-mitchell-street-bondi-beach-nsw-2026-14146430,$595,Bondi Beach,2,NO,2,39,21,61,38
"5/102 Curlewis Street, Bondi Beach NSW 2026",https://www.domain.com.au/5-102-curlewis-street-bondi-beach-nsw-2026-14075773,$600,Bondi Beach,2,NO,2,38,21,52,37
"1/375a Old South Head Road, North Bondi NSW 2026",https://www.domain.com.au/1-375a-old-south-head-road-north-bondi-nsw-2026-10119598,$500,North Bondi,2,NO,4,38,20,64,44
"27/10-16 Melrose Parade, Clovelly NSW 2031",https://www.domain.com.au/27-10-16-melrose-parade-clovelly-nsw-2031-14066996,$600,Clovelly,2,YES,12,41,23,44,39
"1/36 Blair Street, Bondi Beach NSW 2026",https://www.domain.com.au/1-36-blair-street-bondi-beach-nsw-2026-8950203,$475,Bondi Beach,2,NO,3,40,23,65,44
"2/4 Frederick Street, North Bondi NSW 2026",https://www.domain.com.au/2-4-frederick-street-north-bondi-nsw-2026-14225622,$475,North Bondi,2,NO,4,40,23,62,42
"10/58 Campbell Parade, Bondi Beach NSW 2026",https://www.domain.com.au/10-58-campbell-parade-bondi-beach-nsw-2026-9688616,$600,Bondi Beach,2,NO,1,39,21,52,44
"6/313 Bondi Road, Bondi Beach NSW 2026",https://www.domain.com.au/6-313-bondi-road-bondi-beach-nsw-2026-14163642,$580,Bondi Beach,2,YES,2,37,20,50,41
"4/61 Mitchell Street, Bondi Beach NSW 2026",https://www.domain.com.au/4-61-mitchell-street-bondi-beach-nsw-2026-14096859,$500,Bondi Beach,2,NO,2,39,21,61,38
"1/32 Military Road, North Bondi NSW 2026",https://www.domain.com.au/1-32-military-road-north-bondi-nsw-2026-14209255,$550,North Bondi,2,NO,3,40,23,66,46
"4/57 Glenayr Avenue, Bondi Beach NSW 2026",https://www.domain.com.au/4-57-glenayr-avenue-bondi-beach-nsw-2026-14215031,$400,Bondi Beach,2,NO,3,39,21,62,38
"45/355-357 Old South Head Rd, North Bondi NSW 2026",https://www.domain.com.au/45-355-357-old-south-head-rd-north-bondi-nsw-2026-14198967,$525,North Bondi,2,YES,4,37,20,63,43
"4/206 Hastings Parade, North Bondi NSW 2026",https://www.domain.com.au/4-206-hastings-parade-north-bondi-nsw-2026-14148340,$585,North Bondi,2,NO,3,43,25,62,53
"1/159 Glenayr Avenue, Bondi Beach NSW 2026",https://www.domain.com.au/1-159-glenayr-avenue-bondi-beach-nsw-2026-14043227,$500,Bondi Beach,2,NO,3,37,20,51,36
"14/1 Bonner Avenue, Manly NSW 2095",https://www.domain.com.au/14-1-bonner-avenue-manly-nsw-2095-14001817,$600,Manly,2,YES,37,1,25,81,50
"3/82 Addison Road, Manly NSW 2095",https://www.domain.com.au/3-82-addison-road-manly-nsw-2095-14170281,$600,Manly,2,YES,38,3,25,64,42
"1/2B Ashburner Street, Manly NSW 2095",https://www.domain.com.au/1-2b-ashburner-street-manly-nsw-2095-14214577,$525,Manly,1,NO,38,2,25,61,39
"23/127 QUEENSCLIFF ROAD, Queenscliff NSW 2096",https://www.domain.com.au/23-127-queenscliff-road-queenscliff-nsw-2096-12836620,$525,Queenscliff,1,NO,39,3,26,77,39
"5/8 West Promenade, Manly NSW 2095",https://www.domain.com.au/5-8-west-promenade-manly-nsw-2095-14167428,$650,Manly,2,NO,37,4,24,59,47
"11/32 Austral Avenue, North Manly NSW 2100",https://www.domain.com.au/11-32-austral-avenue-north-manly-nsw-2100-14206353,$595,North Manly,2,YES,37,5,24,81,52
"8/99 Pacific Parade, Dee Why NSW 2099",https://www.domain.com.au/8-99-pacific-parade-dee-why-nsw-2099-14166338,Offe,Dee Why,2,YES,43,10,30,92,63
"2/8 Victoria Pde Parade, Manly NSW 2095",https://www.domain.com.au/2-8-victoria-pde-parade-manly-nsw-2095-14155326,$580,Manly,1,NO,38,1,25,59,38
"10/104 Soldiers Avenue, Freshwater NSW 2096",https://www.domain.com.au/10-104-soldiers-avenue-freshwater-nsw-2096-14191953,$600,Freshwater,2,YES,39,5,26,86,56
"10/36-40 Gordon Street, Manly Vale NSW 2093",https://www.domain.com.au/10-36-40-gordon-street-manly-vale-nsw-2093-14210058,$525,Manly Vale,2,YES,34,6,21,66,40
"7/7 Waine Street, Freshwater NSW 2096",https://www.domain.com.au/7-7-waine-street-freshwater-nsw-2096-14214576,$525,Freshwater,2,YES,37,4,24,79,41
"11/10A Cavill Street, Queenscliff NSW 2096",https://www.domain.com.au/11-10a-cavill-street-queenscliff-nsw-2096-10548784,$570,Queenscliff,2,YES,38,3,25,79,41
"4/8 Campbell Parade, Manly Vale NSW 2093",https://www.domain.com.au/4-8-campbell-parade-manly-vale-nsw-2093-14167691,$450,Manly Vale,2,YES,34,6,22,64,38
"3/3 Fairway Close, Manly Vale NSW 2093",https://www.domain.com.au/3-3-fairway-close-manly-vale-nsw-2093-14172772,$450,Manly Vale,2,YES,35,5,22,76,37
"2/8 Fairway Close, Manly Vale NSW 2093",https://www.domain.com.au/2-8-fairway-close-manly-vale-nsw-2093-14107461,$525,Manly Vale,2,YES,35,5,22,76,38
"1/9 Fairway Close, Manly Vale NSW 2093",https://www.domain.com.au/1-9-fairway-close-manly-vale-nsw-2093-14204266,$500,Manly Vale,2,YES,35,5,22,76,38
"5/7 Kangaroo Street, Manly NSW 2095",https://www.domain.com.au/5-7-kangaroo-street-manly-nsw-2095-14070091,$525,Manly,2,YES,36,3,23,64,51
"6/10 Eustace Street, Manly NSW 2095",https://www.domain.com.au/6-10-eustace-street-manly-nsw-2095-14199014,$575,Manly,2,NO,36,3,23,60,46
"10/131 Curlewis Street, Bondi Beach NSW 2026",https://www.domain.com.au/10-131-curlewis-street-bondi-beach-nsw-2026-12656021,$500,Bondi Beach,2,NO,2,39,21,54,39
"2/11 Gould Street, North Bondi NSW 2026",https://www.domain.com.au/2-11-gould-street-north-bondi-nsw-2026-7867897,$450,North Bondi,2,NO,4,40,22,63,43
"2/76 Curlewis Street, Bondi Beach NSW 2026",https://www.domain.com.au/2-76-curlewis-street-bondi-beach-nsw-2026-8077495,$450,Bondi Beach,2,NO,3,38,20,52,36
"5/68 Hall St, Bondi Beach NSW 2026",https://www.domain.com.au/5-68-hall-st-bondi-beach-nsw-2026-14164966,$410,Bondi Beach,2,NO,4,37,20,51,36
"6/11 Havelock Avenue, Coogee NSW 2034",https://www.domain.com.au/6-11-havelock-avenue-coogee-nsw-2034-14199747,Appl,Coogee,2,NO,14,40,23,40,29
"205/7 Wills Avenue, Bronte NSW 2024",https://www.domain.com.au/205-7-wills-avenue-bronte-nsw-2024-13963134,$600,Bronte,2,YES,8,37,20,50,33
"8/361 Bronte Road, Bronte NSW 2024",https://www.domain.com.au/8-361-bronte-road-bronte-nsw-2024-7895006,$600,Bronte,2,YES,7,38,21,63,37
"9/122 Brook Street, Coogee NSW 2034",https://www.domain.com.au/9-122-brook-street-coogee-nsw-2034-14161677,$550,Coogee,2,NO,13,40,22,46,30
"25 Bennett Street, Bondi NSW 2026",https://www.domain.com.au/25-bennett-street-bondi-nsw-2026-14191843,$550,Bondi,2,NO,5,36,18,48,39
"22/232 Rainbow Street, Coogee NSW 2034",https://www.domain.com.au/22-232-rainbow-street-coogee-nsw-2034-14132268,$495,Coogee,2,YES,15,40,22,40,38
"20/50 Carr Street, Coogee NSW 2034",https://www.domain.com.au/20-50-carr-street-coogee-nsw-2034-14193691,$500,Coogee,2,NO,13,40,23,42,31
"5/262a Carrington Road, Coogee NSW 2034",https://www.domain.com.au/5-262a-carrington-road-coogee-nsw-2034-10417917,$500,Coogee,2,NO,13,38,20,44,29
"1/1 Palmerston Avenue, Bronte NSW 2024",https://www.domain.com.au/1-1-palmerston-avenue-bronte-nsw-2024-11839883,$500,Bronte,2,NO,7,38,20,67,39
"10/5 Hastings Parade, Bondi NSW 2026",https://www.domain.com.au/10-5-hastings-parade-bondi-nsw-2026-14009868,$500,Bondi,2,NO,2,39,21,54,39
"2/240 Coogee Bay Road, Coogee NSW 2034",https://www.domain.com.au/2-240-coogee-bay-road-coogee-nsw-2034-14077085,$470,Coogee,2,NO,13,40,23,45,33
"3/2A Brook Street, Coogee NSW 2034",https://www.domain.com.au/3-2a-brook-street-coogee-nsw-2034-14175777,$510,Coogee,2,NO,10,38,21,37,33
"2/13 Cross Street, Bronte NSW 2024",https://www.domain.com.au/2-13-cross-street-bronte-nsw-2024-12184956,$500,Bronte,2,NO,5,37,20,58,49
"1/18 Murray St, Bronte NSW 2024",https://www.domain.com.au/1-18-murray-st-bronte-nsw-2024-11755778,$495,Bronte,2,YES,6,38,20,62,42
"3/236 Rainbow Street, Coogee NSW 2034",https://www.domain.com.au/3-236-rainbow-street-coogee-nsw-2034-14172700,LEAS,Coogee,2,YES,15,40,22,39,38
"6/16 Murray Street, Bronte NSW 2024",https://www.domain.com.au/6-16-murray-street-bronte-nsw-2024-12151289,$495,Bronte,2,YES,6,38,20,62,42
"1/284 Birrell Street, Bondi NSW 2026",https://www.domain.com.au/1-284-birrell-street-bondi-nsw-2026-10218839,$525,Bondi,2,YES,5,36,18,55,29
"10/146 Oberon Street, Coogee NSW 2034",https://www.domain.com.au/10-146-oberon-street-coogee-nsw-2034-14127431,$490,Coogee,2,YES,14,39,22,37,36
"4/108 Bondi Road, Bondi NSW 2026",https://www.domain.com.au/4-108-bondi-road-bondi-nsw-2026-14205285,$495,Bondi,2,NO,5,34,16,44,29
"28/1A Leeton Avenue, Coogee NSW 2034",https://www.domain.com.au/28-1a-leeton-avenue-coogee-nsw-2034-14090455,Cont,Coogee,2,YES,12,39,21,46,35
"1/98 Coogee Bay Road, Coogee NSW 2034",https://www.domain.com.au/1-98-coogee-bay-road-coogee-nsw-2034-10750351,$550,Coogee,2,NO,13,40,22,46,30
"5/29-31 Coogee Street, Coogee NSW 2034",https://www.domain.com.au/5-29-31-coogee-street-coogee-nsw-2034-13672084,$595,Coogee,2,YES,13,37,19,41,28
"2/12 Dudley Street, Coogee NSW 2034",https://www.domain.com.au/2-12-dudley-street-coogee-nsw-2034-13595085,$560,Coogee,2,NO,14,38,21,40,29
"12/31 Byron Street, Coogee NSW 2034",https://www.domain.com.au/12-31-byron-street-coogee-nsw-2034-14209177,$595,Coogee,2,YES,14,40,22,40,29
"12/47 Francis Street, Bondi NSW 2026",https://www.domain.com.au/12-47-francis-street-bondi-nsw-2026-14209569,$600,Bondi,2,NO,2,38,20,54,46
"74 Bream Street, Coogee NSW 2034",https://www.domain.com.au/74-bream-street-coogee-nsw-2034-14166225,$590,Coogee,2,NO,11,39,22,45,29
"4/45 Wilson Street, Freshwater NSW 2096",https://www.domain.com.au/4-45-wilson-street-freshwater-nsw-2096-14201873,$495,Freshwater,2,YES,38,4,25,83,52
"3/135 Sydney Road, Fairlight NSW 2094",https://www.domain.com.au/3-135-sydney-road-fairlight-nsw-2094-14127875,$550,Fairlight,2,NO,34,4,21,65,40
"20/75 Pacific Parade, Dee Why NSW 2099",https://www.domain.com.au/20-75-pacific-parade-dee-why-nsw-2099-11773273,$550,Dee Why,2,YES,42,10,30,89,55
"205/697-701 Pittwater Road, Dee Why NSW 2099",https://www.domain.com.au/205-697-701-pittwater-road-dee-why-nsw-2099-12613986,$560,Dee Why,2,YES,44,13,31,78,46
"2/14 Lagoon View Road, Cromer NSW 2099",https://www.domain.com.au/2-14-lagoon-view-road-cromer-nsw-2099-14196753,Offe,Cromer,3,YES,42,14,29,92,61
"3/17 Brisbane Street, Fairlight NSW 2094",https://www.domain.com.au/3-17-brisbane-street-fairlight-nsw-2094-14175770,For ,Fairlight,2,NO,35,6,22,75,45
"5/5 Ocean View Road, Freshwater NSW 2096",https://www.domain.com.au/5-5-ocean-view-road-freshwater-nsw-2096-14186646,$525,Freshwater,2,YES,39,5,26,84,54
"18/163 Sydney Road, Fairlight NSW 2094",https://www.domain.com.au/18-163-sydney-road-fairlight-nsw-2094-14117533,$550,Fairlight,2,NO,34,5,21,64,39
"2/17 Upper Gilbert Street, Manly NSW 2095",https://www.domain.com.au/2-17-upper-gilbert-street-manly-nsw-2095-14209517,$600,Manly,2,NO,36,4,23,61,47
"1/208 Pittwater Road, Manly NSW 2095",https://www.domain.com.au/1-208-pittwater-road-manly-nsw-2095-14092704,$595,Manly,2,YES,36,2,23,80,42
